X,Y,Z,mag
0.557784,-1.25904,0.272304,1.4
0.555832,-1.2566,0.296216,1.41
0.555344,-1.256112,0.323544,1.41
0.541192,-1.256112,0.318176,1.4
0.509472,-1.256112,0.29426399999999997,1.39
0.487024,-1.243424,0.27816,1.36
0.460184,-1.22244,0.336232,1.35
0.462624,-1.2322,0.360144,1.36
0.447008,-1.224392,0.367952,1.35
0.445544,-1.215608,0.35624,1.34
0.44895999999999997,-1.199504,0.39039999999999997,1.34
0.45872,-1.1956,0.396744,1.34
0.449936,-1.18584,0.386984,1.33
0.414312,-1.17608,0.391864,1.31
0.426512,-1.1819359999999999,0.41236,1.32
0.41870399999999997,-1.177544,0.42944,1.32
0.40699199999999996,-1.158512,0.455792,1.31
0.405528,-1.154608,0.451888,1.3
0.393328,-1.14924,0.467504,1.3
0.393328,-1.009672,0.474336,1.18
0.379176,-1.1224,0.48556,1.28
0.360144,-1.121424,0.503128,1.28
0.363072,-1.1204479999999999,0.508984,1.28
0.374296,-1.120936,0.50508,1.29
0.370392,-1.113616,0.501176,1.28
0.366488,-1.103856,0.476288,1.26
0.340136,-1.092632,0.488,1.24
0.34892,-1.098,0.504592,1.26
0.327936,-1.0955599999999999,0.535336,1.26
0.333792,-1.093608,0.515328,1.25
0.330864,-1.094584,0.51972,1.26
0.326472,-1.076528,0.494832,1.23
0.321592,-1.072624,0.502152,1.23
0.306464,-1.064328,0.474336,1.2
0.2806,-1.065304,0.471896,1.2
0.291336,-1.055056,0.49776,1.2
0.294752,-1.0413919999999999,0.525576,1.2
0.296216,-1.053104,0.5231359999999999,1.21
0.29524,-1.048712,0.487512,1.19
0.275232,-1.052616,0.474336,1.19
0.267912,-1.042368,0.471408,1.17
0.25864,-1.0340719999999999,0.47336,1.17
0.25864,-1.0291919999999999,0.46604,1.16
0.252784,-1.01504,0.450912,1.14
0.252784,-1.017968,0.458232,1.14
0.229848,-1.03212,0.454328,1.15
0.210816,-1.025776,0.451888,1.14
0.232288,-1.010648,0.454816,1.13
0.227408,-0.992104,0.453352,1.11
0.220088,-0.987712,0.429928,1.1
0.198128,-0.9891759999999999,0.408456,1.09
0.20105599999999998,-0.991128,0.36844,1.08
0.182512,-0.987712,0.416752,1.09
0.177144,-0.99064,0.386496,1.08
0.179096,-0.981368,0.403576,1.08
0.16836,-0.993568,0.401136,1.08
0.179096,-0.975024,0.398208,1.07
0.173728,-0.96136,0.41382399999999997,1.06
0.16104,-0.964776,0.40211199999999997,1.06
0.16104,-0.96868,0.372344,1.05
0.12395199999999999,-0.9681919999999999,0.365024,1.04
0.11712,-0.951112,0.37332,1.03
0.145424,-0.943792,0.411872,1.04
0.139568,-0.9384239999999999,0.39527999999999996,1.03
0.113704,-0.947696,0.386496,1.03
0.101504,-0.9520879999999999,0.370392,1.03
0.08881599999999999,-0.945256,0.364048,1.02
0.09174399999999999,-0.937448,0.376736,1.01
0.078568,-0.941352,0.35770399999999997,1.01
0.055144,-0.928176,0.360144,1.0
0.062952,-0.913048,0.371368,0.99
0.060511999999999996,-0.9272,0.386008,1.01
0.051727999999999996,-0.920368,0.39039999999999997,1.0
0.042943999999999996,-0.913536,0.36453599999999997,0.98
0.04636,-0.920856,0.36697599999999997,0.99
0.020007999999999998,-0.9189039999999999,0.385032,1.0
0.023912,-0.9027999999999999,0.36697599999999997,0.97
0.01464,-0.9101199999999999,0.348432,0.97
-0.0068319999999999995,-0.891088,0.35282399999999997,0.96
-0.003904,-0.891576,0.35770399999999997,0.96
-0.01952,-0.900848,0.352336,0.97
-0.026352,-0.896456,0.360632,0.97
-0.02928,-0.877424,0.36941599999999997,0.95
-0.026352,-0.885232,0.389424,0.97
-0.010735999999999999,-0.889624,0.384544,0.97
-0.055144,-0.8906,0.353312,0.96
-0.061488,-0.8818159999999999,0.34648,0.95
-0.070272,-0.870104,0.340624,0.94
-0.053191999999999996,-0.867176,0.36453599999999997,0.94
-0.07124799999999999,-0.862296,0.36453599999999997,0.94
-0.069784,-0.879864,0.36356,0.95
-0.075152,-0.867664,0.388448,0.95
-0.082472,-0.866688,0.367952,0.95
-0.074664,-0.874008,0.350872,0.94
-0.082472,-0.85644,0.340136,0.93
-0.093208,-0.850584,0.34648,0.92
-0.095648,-0.853024,0.36453599999999997,0.93
-0.083936,-0.860344,0.391376,0.95
-0.081008,-0.869616,0.349408,0.94
-0.0854,-0.859856,0.346968,0.93
-0.08784,-0.853024,0.353312,0.93
-0.082472,-0.84912,0.354288,0.92
-0.086376,-0.833992,0.338672,0.9
-0.09272,-0.840824,0.34892,0.92
-0.091256,-0.843264,0.349408,0.92
-0.082472,-0.8535119999999999,0.350384,0.93
-0.101992,-0.853024,0.340136,0.92
-0.111264,-0.85888,0.335256,0.93
-0.088328,-0.852048,0.354288,0.93
-0.069784,-0.8510719999999999,0.375272,0.93
-0.081008,-0.867176,0.342576,0.94
-0.10638399999999999,-0.862296,0.346968,0.94
-0.11712,-0.854,0.34892,0.93
-0.101504,-0.865712,0.35526399999999997,0.94
-0.08784,-0.862784,0.347944,0.93
-0.09272,-0.85888,0.340136,0.93
-0.094184,-0.85644,0.3538,0.93
-0.10345599999999999,-0.85888,0.390888,0.95
-0.081984,-0.847656,0.392352,0.94
-0.090768,-0.845704,0.3782,0.93
-0.099064,-0.854976,0.335256,0.92
-0.106872,-0.8662,0.340624,0.94
-0.09759999999999999,-0.8784,0.361608,0.95
-0.089304,-0.864248,0.382104,0.95
-0.09467199999999999,-0.8744959999999999,0.389424,0.96
-0.08784,-0.864736,0.388936,0.95
-0.072712,-0.854976,0.40211199999999997,0.95
-0.083936,-0.85644,0.40748,0.95
-0.08003199999999999,-0.867176,0.40211199999999997,0.96
-0.070272,-0.874984,0.413336,0.97
-0.081984,-0.878888,0.417728,0.98
-0.072224,-0.86864,0.4148,0.97
-0.048312,-0.880352,0.413336,0.97
-0.049288,-0.9003599999999999,0.437736,1.0
-0.050263999999999996,-0.8979199999999999,0.445056,1.0
-0.029768,-0.9076799999999999,0.461648,1.02
-0.030744,-0.892552,0.475312,1.01
-0.005856,-0.885232,0.482144,1.01
0.015127999999999999,-0.896944,0.5133759999999999,1.03
0.035136,-0.908168,0.522648,1.05
0.048799999999999996,-0.915976,0.51728,1.05
0.04392,-0.925248,0.48897599999999997,1.05
0.050752,-0.918416,0.493368,1.04
0.07076,-0.922808,0.544608,1.07
0.0854,-0.9335439999999999,0.542168,1.08
0.095648,-0.933056,0.53192,1.08
0.090768,-0.9335439999999999,0.5231359999999999,1.07
0.10345599999999999,-0.931592,0.518744,1.07
0.110288,-0.945256,0.523624,1.09
0.115656,-0.943304,0.51728,1.08
0.119072,-0.952576,0.518744,1.09
0.130296,-0.9569679999999999,0.52216,1.1
0.12932,-0.9423279999999999,0.540216,1.09
0.1098,-0.9447679999999999,0.53192,1.09
0.116144,-0.940864,0.494832,1.07
0.11468,-0.942816,0.534848,1.09
0.108336,-0.96136,0.5002,1.09
0.101504,-0.9681919999999999,0.501176,1.09
0.077592,-0.960872,0.47336,1.07
0.08881599999999999,-0.964288,0.477752,1.08
0.086864,-0.96136,0.48653599999999997,1.08
0.076616,-0.96136,0.455792,1.07
0.044407999999999996,-0.958432,0.46604,1.07
0.040992,-0.948672,0.47336,1.06
0.061975999999999996,-0.957456,0.507032,1.09
0.056608,-0.970144,0.507032,1.1
0.033672,-0.974536,0.459208,1.08
0.024399999999999998,-0.966728,0.4392,1.06
0.011712,-0.9520879999999999,0.47970399999999996,1.07
0.007808,-0.953064,0.487024,1.07
-0.0034159999999999998,-0.953064,0.490928,1.07
-0.020984,-0.945256,0.47336,1.06
-0.020007999999999998,-0.940376,0.491904,1.06
-0.003904,-0.9384239999999999,0.49288,1.06
-0.017079999999999998,-0.957944,0.467016,1.07
-0.017568,-0.95404,0.44652,1.05
-0.036112,-0.957944,0.452864,1.06
-0.045871999999999996,-0.95892,0.47970399999999996,1.07
-0.050263999999999996,-0.945744,0.47824,1.06
-0.045384,-0.943304,0.475312,1.06
-0.047824,-0.933056,0.47092,1.05
-0.04392,-0.9335439999999999,0.489952,1.06
